setting,task,model,accuracy,precision,recall,f1
intra_dataset_test,binary,MFCC+SVM,0.7217488334347738,0.8920550727908814,0.7145310734463277,0.7934850804326549
intra_dataset_test,severity,MFCC+SVM,0.2396078431372549,0.3054565557594883,0.2301172320780164,0.18416780632904484
TORGO_to_UA,binary,MFCC+SVM,0.5143136297020029,0.5142619501932579,0.9986698337292161,0.6789174525255135
TORGO_to_UA,severity,MFCC+SVM,,,,
UA_to_TORGO,binary,MFCC+SVM,0.35036868973340896,0.35031485788846656,0.9998380829015544,0.5188421627525942
UA_to_TORGO,severity,MFCC+SVM,,,,
